# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1332303752
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,scale,boltzman_shift
-9.90928e+79,1,2.35342e-42,1,1,0,2.28099e+80,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,41.6611
-3.65354e+79,1,3.82146e-42,1,1,0,8.2867e+79,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,42.2421
-1.37078e+79,1,6.15308e-42,2,3,0,3.06522e+79,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,42.8128
-5.23053e+78,1,9.82681e-42,2,3,0,1.15371e+79,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,43.3738
-2.02859e+78,1,1.55708e-41,3,7,0,4.41599e+78,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,43.9253
-7.99223e+77,1,2.44853e-41,1,1,0,1.71791e+78,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,44.4677
-3.19693e+77,1,3.82217e-41,1,1,0,6.78842e+77,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,45.0012
-1.29766e+77,1,5.92425e-41,4,15,0,2.72331e+77,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,45.5261
-5.34237e+76,1,9.11972e-41,2,3,0,1.10856e+77,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,46.0429
-2.22968e+76,1,1.39462e-40,1,1,0,4.57652e+76,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,46.5516
-9.42945e+75,1,2.11911e-40,2,3,0,1.91522e+76,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,47.0527
-4.03898e+75,1,3.20012e-40,4,15,0,8.1209e+75,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,47.5464
-1.75152e+75,1,4.80381e-40,1,1,0,3.48742e+75,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,48.0329
-7.68672e+74,1,7.16963e-40,3,7,0,1.51611e+75,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,48.5124
-3.41255e+74,1,1.0641e-39,1,1,0,6.66981e+74,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,48.9852
-1.53204e+74,1,1.57078e-39,5,31,0,2.96811e+74,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,49.4515
-6.95275e+73,1,2.30662e-39,3,7,0,1.33559e+74,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,49.9115
-3.18855e+73,1,3.37004e-39,2,3,0,6.07483e+73,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,50.3654
-1.4772e+73,1,4.8996e-39,1,1,0,2.79203e+73,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,50.8134
-6.91126e+72,1,7.08954e-39,3,7,0,1.29625e+73,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,51.2557
-3.26452e+72,1,1.0211e-38,1,1,0,6.07726e+72,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,51.6924
-1.55633e+72,1,1.46412e-38,3,7,0,2.87638e+72,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,52.1237
-7.48662e+71,1,2.09024e-38,1,1,0,1.37398e+72,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,52.5498
-3.63293e+71,1,2.97154e-38,1,1,0,6.6221e+71,0.109435,0.408415,0.252993,0.0175516,0.139225,0.0723808,0.159861,52.9708
